uuid,link_id,link,time_class,time_control,rated,white,white_rating,black,black_rating,rating_diff,opening,simple_opening,eco_code,my_color,result,white_accuracy,black_accuracy,Time,end_time,moves
71ba5026-3e2a-11f1-a0f1-86ad2101000f,167657102686,https://www.chess.com/game/live/167657102686,bullet,60+1,True,ParpasP,877,Anurag7381,782,95,Queens-Pawn-Opening-Mikenas-Defense-2.c4-e5,Quenn's Pawn Opening,/www.chess.com/openings/Queens-Pawn-Opening-Mikenas-Defense-2.c4-e5,White,Win,,,2026-04-22 11:07:40+02:00,1776848860,d4|e5|c4|Nc6|dxe5|Nxe5|Nf3|Nxc4|Nc3|Bb4|e4|Bxc3+|bxc3|Nd6|Bd3|f6|O-O|Ne7|Nd4|O-O|Re1|c5|Nf3|c4|Bc2|a6|Qxd6|b5|e5|fxe5|Rxe5|Bb7|Qxe7|Qxe7|Rxe7|Bxf3|gxf3|Rxf3|Be4|Rxc3|Bxa8|Rd3|Bb2|Rd1+|Rxd1
2373403c-3e2a-11f1-8849-28ad8d01000f,167657034790,https://www.chess.com/game/live/167657034790,bullet,60+1,True,donut1,870,ParpasP,871,-1,Closed-Sicilian-Defense-2...e6-3.d3,Closed Sicilian Defense,/www.chess.com/openings/Closed-Sicilian-Defense-2...e6-3.d3,Black,Win,,,2026-04-22 11:05:35+02:00,1776848735,e4|c5|Nc3|e6|d3|d5|exd5|exd5|Nf3|d4|Ne4|Nc6|Be2|b6|O-O|Bb7|Bf4|Rc8|Nfd2|Nf6|Nxf6+|Qxf6|Bg4|Qxf4|Bxc8|Bxc8|Nf3|Bd6|Qe2+|Be6|Rfe1|O-O|g3|Qg4|Nd2|Qh3|Qf3|Bg4|Qxc6|Bb8|Ne4|Bf3|Ng5|Qg2#
b9037a8d-3e29-11f1-8849-28ad8d01000f,167656944644,https://www.chess.com/game/live/167656944644,bullet,60+1,True,ParpasP,863,Roszek8,879,-16,Queens-Gambit-Declined-Baltic-Deferred-Queen-Attack,Queen's Gambit Declined,/www.chess.com/openings/Queens-Gambit-Declined-Baltic-Deferred-Queen-Attack,White,Loss,,,2026-04-22 11:03:29+02:00,1776848609,d4|d5|c4|Bf5|Nc3|e6|Qb3|b6|e3|Nf6|Be2|Be7|Nf3|O-O|O-O|Ne4|Nxe4|Bxe4|Ne5|f6|Nd3|a5|f3|Bg6|Nf4|a4|Qb5|Be8|Nxe6|Qc8|Qxd5|Bf7|Qe4|c6|Nxf8|Bxf8|f4|Nd7|Qf3|c5|Qg3|cxd4|e4|Nc5|e5|d3|Bd1|Bxc4|Re1|d2|Bxd2|Nd3|Bc3|Bc5+|Kh1|Bf2|Qf3|Bxe1|Be2|Nf2+|Kg1|Bxc3|Bxc4+|Qxc4|bxc3|Nd3|h3|Rc8|Kh2|Qxc3
74a00043-3e29-11f1-8849-28ad8d01000f,167656886854,https://www.chess.com/game/live/167656886854,bullet,60+1,True,mustafe6627,906,ParpasP,871,35,Queens-Pawn-Opening-Blackmar-Gambit-2...dxe4,Quenn's Pawn Opening,/www.chess.com/openings/Queens-Pawn-Opening-Blackmar-Gambit-2...dxe4,Black,Loss,,,2026-04-22 11:00:31+02:00,1776848431,d4|d5|e4|dxe4|Bc4|Nf6|Ne2|Nc6|Nbc3|Bg4|h3|Bh5|Be3|e6|Qd2|Bb4|a3|Bxc3|Qxc3|Bxe2|Bxe2|O-O|O-O-O|Re8|g4|Ne7|h4|Rc8|h5|Qd5|g5|Nd7|h6|g6|Bc4|Qc6|d5|exd5|Qg7#
cbcfa136-3e25-11f1-8849-28ad8d01000f,167656092276,https://www.chess.com/game/live/167656092276,bullet,60+1,True,ParpasP,879,ContreUnoFR,848,31,London-System...4.e3-Bf5-5.c4-e6-6.Nc3,London System,/www.chess.com/openings/London-System...4.e3-Bf5-5.c4-e6-6.Nc3,White,Win,,,2026-04-22 10:34:36+02:00,1776846876,d4|d5|c4|c6|Nc3|Bf5|Nf3|Nf6|Bf4|e6|e3|Bd6|Bg3|O-O|Bd3|Bxd3|Qxd3|Na6|c5|Bc7|Rc1|Nb4|Qd1|Bxg3|hxg3|b6|a3|Na6|b4|bxc5|bxc5|Qa5|Qc2|Ne4|Ne5|Nf6|g4|Qxa3|g5|Ne4|Nxe4|dxe4|f3|exf3|Qxh7#
89dd0045-3e25-11f1-936c-2e0a7901000f,167656037552,https://www.chess.com/game/live/167656037552,bullet,60+1,True,ParpasP,871,MinhDior123,762,109,Queens-Gambit-Declined-Queens-Knight-Variation-3...dxc4-4.e4,Queen's Gambit Declined,/www.chess.com/openings/Queens-Gambit-Declined-Queens-Knight-Variation-3...dxc4-4.e4,White,Win,,,2026-04-22 10:32:25+02:00,1776846745,d4|d5|c4|e6|Nc3|dxc4|e4|Bb4|Bxc4|Nc6|Nf3|Nf6|a3|Bxc3+|bxc3|Nxe4|O-O|Nxc3|Qb3|Ne4|Re1|Nf6|Bg5|O-O|Bd3|h6|Bh4|g5|Bg3
b1b9e984-3e21-11f1-936c-2e0a7901000f,167655221402,https://www.chess.com/game/live/167655221402,bullet,60+1,True,ParpasP,863,tungdancer,778,85,Queens-Gambit-Declined-Chigorin-Janowski-Variation...6.Be3-e6-7.Bxc4-Bb4,Queen's Gambit Declined,/www.chess.com/openings/Queens-Gambit-Declined-Chigorin-Janowski-Variation...6.Be3-e6-7.Bxc4-Bb4,White,Win,,,2026-04-22 10:05:36+02:00,1776845136,d4|d5|c4|dxc4|e4|Nf6|Nc3|Nc6|Nf3|Bg4|Be3|e6|Bxc4|Bb4|e5|O-O|exf6|Qxf6|Bd2|Nxd4|Be2|Rfd8|Nxd4|Bxe2|Ndxe2|Rd7|O-O|Rad8|Qa4|Bxc3|Bxc3|Qg6|Ng3|a6|Qb4|b5|Qa5|c5|Qxa6
6415a9d6-3e21-11f1-8849-28ad8d01000f,167655159088,https://www.chess.com/game/live/167655159088,bullet,60+1,True,LO_MA_CEL,882,ParpasP,857,25,Slav-Defense-Modern-Two-Knights-Attack,Slav Defense,/www.chess.com/openings/Slav-Defense-Modern-Two-Knights-Attack,Black,Loss,,,2026-04-22 10:03:02+02:00,1776844982,d4|d5|c4|c6|Nc3|Nf6|Nf3|dxc4|Bg5|Nd5|e4|Nb4|a3|N4a6|Bxc4|b5|Bb3|Bg4|h3|Bh5|O-O|g6|g4|Bxg4|hxg4|Bg7|e5|Nd7|Bh4|c5|Ng5|cxd4|Qxd4|Bxe5|Qd3|Rc8|Bxf7+|Kf8|Qf3|Kg7|Ne6+
2d8b9084-3e21-11f1-936c-2e0a7901000f,167655115332,https://www.chess.com/game/live/167655115332,bullet,60+1,True,kishore-anik,839,ParpasP,865,-26,Alapin-Sicilian-Defense...3.Nf3-Nc6-4.d4-cxd4-5.cxd4,Alapin Sicilian Defense,/www.chess.com/openings/Alapin-Sicilian-Defense...3.Nf3-Nc6-4.d4-cxd4-5.cxd4,Black,Loss,,,2026-04-22 10:00:29+02:00,1776844829,e4|c5|Nf3|e6|c3|Nc6|d4|cxd4|cxd4|Bb4+|Nc3|Nf6|Bd3|O-O|O-O|d5|exd5|Nxd5|Nxd5|exd5|Ne5|Nxd4|Qh5|Ne6|Qxh7#
bbc08dbd-3e20-11f1-8849-28ad8d01000f,167655023440,https://www.chess.com/game/live/167655023440,bullet,60+1,True,ParpasP,874,69DrD,951,-77,Englund-Gambit-2.dxe5,Englund Gambit,/www.chess.com/openings/Englund-Gambit-2.dxe5,White,Loss,67.82,73.31,2026-04-22 09:59:20+02:00,1776844760,d4|e5|dxe5|d6|exd6|Bxd6|Nc3|Bf5|Bf4|Nf6|Nf3|Bxf4|e3|Qxd1+|Rxd1|Be5|Nxe5|O-O|Bc4|Re8|Nf3|Nc6|Bd3|Bg4|h3|Bxf3|gxf3|Rad8|Rg1|g6|Nb5|Nd5|Be4|a6|Bxd5|axb5|Bxc6|Rxd1+|Kxd1|bxc6|Rg4|Rd8+|Ke2|f5|Rb4|Rd7|Rb3|Kf7|Rc3|Ke6|Rxc6+|Kd5|Ra6|Kc4|Ra8|c5|Rh8|b4|Rxh7|Rxh7|e4|fxe4|fxe4|Rxh3|f3|Kd4|c3+|bxc3|bxc3+|Kxc3|Ke3|Kb2|Kf4|Kxa2|Kg5|Rg3+|Kf4|Rg1|e5|c4|Ke4|c3|f4|Re1+|Kd5|c2|e6|c1=Q|Kd6|Qd2+|Ke7|Qb4+|Kf7|g5|e7|Qxe7+|Kg6|Re6+|Kf5|Rf6+|Kxg5|Qg7+|Kh5|Rh6#
